"Word","Length","Freq_HAL","Log_Freq_HAL"
"a","1","10610626","16.18"
"aah","3","222","5.40"
"Aaron","5","10806","9.29"
"aback","5","387","5.96"
"abacus","6","513","6.24"
"abandon","7","3761","8.23"
"abandoned","9","5160","8.55"
"abandoning","10","1005","6.91"
"abandonment","11","786","6.67"
"abase","5","30","3.40"
"abasement","9","7","1.95"
"abash","5","1","0.00"
"abate","5","279","5.63"
"abated","6","144","4.97"
"abbess","6","33","3.50"
"abbey","5","2286","7.73"
"abbot","5","616","6.42"
"abbreviate","10","203","5.31"
"abide","5","1967","7.58"
"abides","6","443","6.09"
"abiding","7","1363","7.22"
"Abigail","7","693","6.54"
"abbreviated","11","1214","7.10"
"abbreviation","12","1908","7.55"
"abbreviations","13","2480","7.82"
"abdicate","8","118","4.77"
"abdomen","7","1279","7.15"
"abdominal","9","850","6.75"
"abduct","6","180","5.19"
"abduction","9","1995","7.60"
"Abe","3","1235","7.12"
"abed","4","143","4.96"
"Abel","4","1009","6.92"
"Abel's","6","52","3.95"
"aberrant","8","166","5.11"
"aberration","10","556","6.32"
"aberrations","11","299","5.70"
"abet","4","81","4.39"
"abetted","7","132","4.88"
"abeyance","8","36","3.58"
"abhor","5","383","5.95"
"abhorred","8","87","4.47"
"abhorrent","9","366","5.90"
"abilities","9","9029","9.11"
"ability","7","56922","10.95"
"abject","6","505","6.22"
"ablaze","6","154","5.04"
"able","4","176528","12.08"
"ably","4","256","5.55"
"abnormal","8","2204","7.70"
"abnormalities","13","644","6.47"
"abnormality","11","291","5.67"
"abnormally","10","372","5.92"
"aboard","6","3721","8.22"
"abode","5","486","6.19"
"abolish","7","1606","7.38"
"abolished","9","1458","7.28"
"abolition","9","827","6.72"
"abolitionist","12","134","4.90"
"abolitionists","13","100","4.61"
"abominate","9","3","1.10"
"aborigines","10","511","6.24"
"abort","5","2778","7.93"
"abominable","10","473","6.16"
"aboriginal","10","1459","7.29"
"aborigine","9","71","4.26"
"abortion","8","16764","9.73"
"abortionist","11","206","5.33"
"abortions","9","3768","8.23"
"abortive","8","213","5.36"
"abound","6","1065","6.97"
"abounded","8","78","4.36"
"abounding","9","100","4.61"
"abounds","7","314","5.75"
"about","5","1307019","14.08"
"above","5","177919","12.09"
"aboveground","11","19","2.94"
"abracadabra","11","73","4.29"
"Abraham","7","3824","8.25"
"abrasion","8","250","5.52"
"abrasive","8","576","6.36"
"abreast","7","491","6.20"
"abridged","8","797","6.68"
"abridgment","10","42","3.74"
"abroad","6","5984","8.70"
"abrogate","8","100","4.61"
"abrogated","9","128","4.85"
"abrupt","6","719","6.58"
"abruptly","8","1230","7.11"
"abruptness","10","23","3.14"
"abscess","7","96","4.56"
"abscesses","9","109","4.69"
"abscissa","8","18","2.89"
"abscond","7","17","2.83"
"absence","7","7304","8.90"
"absences","8","143","4.96"
"absent","6","3019","8.01"
"absented","8","4","1.39"
"absentee","8","152","5.02"
"absenteeism","11","78","4.36"
"absently","8","190","5.25"
"absinth","7","8","2.08"
"absolute","8","16840","9.73"
"absoluteness","12","23","3.14"
"absentmindedly","14","49","3.89"
"absolutely","10","36965","10.52"
"absolutes","9","587","6.38"
"absolution","10","140","4.94"
"absolutism","10","197","5.28"
"absolve","7","223","5.41"
"absorb","6","2787","7.93"
"absorbed","8","2954","7.99"
"absorbency","10","82","4.41"
"absorbent","9","193","5.26"
"absorber","8","143","4.96"
"absorbing","9","933","6.84"
"absorbs","7","619","6.43"
"absorption","10","1735","7.46"
"absorptions","11","11","2.40"
"absorptive","10","32","3.47"
"abstain","7","960","6.87"
"abstaining","10","190","5.25"
"abstention","10","72","4.28"
"abstinence","10","983","6.89"
"abstinent","9","73","4.29"
"abstract","8","8606","9.06"
"abstracted","10","261","5.56"
"abstractedness","14","2","0.69"
"abstracting","11","113","4.73"
"abstraction","11","1596","7.38"
"abstractionism","14","1","0.00"
"abstractionists","15","3","1.10"
"abstractions","12","512","6.24"
